CPF,Nome,Curso,Origem
741.320.658-71,Joaquim Barbosa,Corporis,SIGAA
941.587.023-05,Enrico Moura,Veritatis,SIGAA
301.765.942-99,Lara da Cunha,Impedit,SIGAA
348.592.016-98,Luiz Miguel Nascimento,Molestias,SIGAA
493.072.581-04,Brenda Monteiro,Autem,SIGAA
648.297.315-91,Eloah Santos,Officia,SIGAA
395.026.841-33,Beatriz Rocha,Numquam,SIGAA
520.147.963-43,Sophie da Mata,Exercitationem,SIGAA
329.057.681-77,João Gabriel da Rosa,Quas,SIGAA
519.306.842-15,Lavínia Aragão,Officiis,SIGAA
147.362.980-22,Augusto Pereira,Velit,SIGAA
162.847.059-30,Dr. Marcelo da Mota,Quos,SIGAA
750.248.913-41,Alana Lima,A,SIGAA
495.031.682-60,Rebeca Carvalho,Sunt,SIGAA
456.018.239-60,Maria Cecília Mendes,Eveniet,SIGAA
216.705.389-40,Thales da Cruz,Repellat,SIGAA
879.043.162-69,Alexandre Cavalcanti,Possimus,SIGAA
081.394.576-39,Sabrina Sales,Voluptatem,SIGAA
894.371.652-46,Davi Lucas Gonçalves,Quod,SIGAA
851.796.023-86,Luiza Souza,Accusamus,SIGAA
563.108.279-95,Levi Melo,Possimus,SIGAA
097.128.354-05,Luiz Miguel da Rosa,Neque,SIGAA
034.182.759-23,Daniel da Conceição,Rem,SIGAA
847.025.319-05,Luiz Gustavo Fernandes,Labore,SIGAA
195.083.462-05,Dr. Lucca Nogueira,Veritatis,SIGAA
691.420.857-30,Felipe Caldeira,Harum,SIGAA
310.784.269-96,Caroline Porto,Voluptatem,SIGAA
271.049.586-49,Sr. João Lucas Porto,Quaerat,SIGAA
271.039.465-07,Lavínia Lopes,Fugiat,SIGAA
406.519.738-48,Daniel Vieira,Esse,SIGAA
215.487.630-71,Maria Clara Moura,Suscipit,SIGAA
089.357.621-21,Ana Laura Rodrigues,Corporis,SIGAA
968.104.753-20,Dra. Catarina Vieira,Vero,SIGAA
931.468.257-91,Sr. Eduardo Oliveira,Inventore,SIGAA
428.690.537-38,Sra. Isadora Martins,Neque,SIGAA
360.471.529-61,Eloah Lima,Voluptatibus,SIGAA
597.204.813-23,Vitor Gabriel Martins,Odit,SIGAA
605.231.987-95,Júlia Freitas,Molestiae,SIGAA
