CPF,Nome_SISTEC,Curso_SISTEC,Nome_SIGAA,Curso_SIGAA,Tipo_Diferenca
630.217.548-80,João Azevedo,doloribus,João Guilherme Caldeira,Sunt,Cursos_Diferentes
054.219.386-89,Dra. Natália das Neves,ducimus,Dra. Brenda da Conceição,Quos,Cursos_Diferentes
769.413.258-28,Milena da Rocha,fugiat,Gustavo Henrique Ribeiro,Sint,Cursos_Diferentes
203.916.784-69,Maria Alice Castro,iusto,Theo Silva,Sapiente,Cursos_Diferentes
042.685.317-26,Caio Mendes,exercitationem,João Felipe Monteiro,Maiores,Cursos_Diferentes
623.974.051-99,Levi Nogueira,laborum,Benício Porto,Repellat,Cursos_Diferentes
963.817.502-86,Sr. Benjamin Barbosa,voluptate,Srta. Natália Pires,Optio,Cursos_Diferentes
597.103.462-61,Sr. Theo Alves,eum,Vitor Jesus,Consequatur,Cursos_Diferentes
013.286.497-50,Dra. Elisa Gomes,neque,Dr. Kaique Rezende,Placeat,Cursos_Diferentes
106.952.437-99,Sra. Lara Gonçalves,similique,Thales Freitas,Fuga,Cursos_Diferentes
601.783.245-07,Emilly da Costa,occaecati,Olivia Pereira,Neque,Cursos_Diferentes
329.761.054-99,Letícia Correia,assumenda,Marina Cardoso,Molestiae,Cursos_Diferentes
745.293.061-43,Lucas Gabriel da Costa,perspiciatis,Vitória Moreira,Hic,Cursos_Diferentes
852.163.794-28,Paulo Gonçalves,laudantium,Sra. Julia Monteiro,Error,Cursos_Diferentes
165.487.293-82,Gabriel Ramos,accusantium,Clarice Caldeira,Quas,Cursos_Diferentes
291.830.564-24,Olivia Pinto,fugit,Lorena da Cunha,Minus,Cursos_Diferentes
064.892.375-47,Arthur da Mota,quis,João Gabriel da Rosa,Laboriosam,Cursos_Diferentes
690.178.534-84,Srta. Evelyn Araújo,qui,Matheus da Cruz,A,Cursos_Diferentes
105.234.698-70,Rafael Souza,cum,Alexandre Moraes,Quasi,Cursos_Diferentes
903.241.876-96,João Felipe Silveira,suscipit,Laís Sales,Eligendi,Cursos_Diferentes
382.951.460-33,Luiza Castro,omnis,Breno Nunes,Accusantium,Cursos_Diferentes
