CPF,Matrícula,Nome,Email,Curso,Status
287.145.609-76,55837319,Yasmin Cunha,goncalvesjoao-gabriel@hotmail.com,Infomatica,Inativo
378.951.264-82,80971702,Ana Lívia Ribeiro,francisco76@gmail.com,TRABALHANDO BEM ,Trancado
621.048.935-42,42754776,Srta. Rebeca Cardoso,vianagabrielly@dias.net,Nulla,Ativo
905.836.724-00,41168968,Dr. Francisco Pereira,maria-clarateixeira@ig.com.br,Impedit,Ativo
532.107.849-14,43812308,Lorena Freitas,brendacorreia@ig.com.br,Non,Inativo
734.816.520-62,91674402,Maria Vitória Correia,raquelfernandes@freitas.net,Nulla,Trancado
984.763.250-29,65964276,Alexandre Campos,laura63@peixoto.org,Placeat,Inativo
958.710.326-21,79470602,Davi Lucas da Paz,ida-rocha@almeida.com,Perspiciatis,Inativo
630.849.157-84,54082970,Luiz Gustavo Peixoto,luiz-miguel94@gmail.com,Hic,Trancado
261.875.403-44,72153623,Dr. Vitor Gabriel Sales,kaiquecunha@moura.br,Libero,Trancado
621.098.537-86,30751408,Eduardo Lopes,joaoda-mota@hotmail.com,Ut,Trancado
379.021.845-60,32847412,Sra. Sabrina Fogaça,melissa54@ig.com.br,At,Ativo
174.925.368-28,74871858,Theo Fogaça,wferreira@gmail.com,Nam,Trancado
869.132.054-06,30859848,Luiz Fernando Lopes,ericknogueira@da.br,Ipsa,Trancado
605.312.479-61,42753464,Thomas da Cunha,da-costalara@caldeira.com,Cupiditate,Ativo
194.063.257-99,62495468,Lara Carvalho,martinscamila@ig.com.br,Eaque,Inativo
578.204.196-01,15615834,João Miguel Aragão,rodriguespedro-henrique@pereira.br,Aut,Trancado
527.849.361-55,10819978,Manuela Castro,srodrigues@farias.org,Saepe,Inativo
932.186.475-09,37477946,Dr. Vicente Lopes,diegonovaes@hotmail.com,Porro,Ativo
675.980.142-30,20776920,Yago Lopes,joana57@da.com,Quae,Trancado
853.964.012-06,54297735,Lívia Pinto,ninaaraujo@uol.com.br,Veniam,Trancado
036.598.471-00,81940282,Daniel Castro,ian38@uol.com.br,Consequuntur,Ativo
516.032.497-61,79240265,Dra. Lívia Pereira,luiz-fernando89@yahoo.com.br,Qui,Inativo
839.641.702-40,41886480,Agatha Silva,liviada-costa@yahoo.com.br,Assumenda,Ativo
382.605.714-71,70890490,Ana Lívia Duarte,portoana@silva.org,Similique,Trancado
162.304.758-71,97299512,Giovanna da Cunha,diogofernandes@yahoo.com.br,Placeat,Ativo
486.519.370-75,46641481,Thiago Barbosa,augustoazevedo@yahoo.com.br,Maiores,Inativo
130.458.627-80,33911086,Raquel Silva,santoscaua@yahoo.com.br,Dignissimos,Trancado
132.075.684-08,35828296,Fernando Vieira,cardosodiogo@uol.com.br,Repellendus,Trancado
219.760.543-70,80606491,Evelyn Caldeira,santosluiz-henrique@uol.com.br,A,Ativo
562.198.073-59,74203596,Sr. Fernando da Luz,diogo07@castro.com,Nisi,Trancado
075.281.346-35,82324279,Dra. Caroline Ferreira,davi56@nunes.com,A,Inativo
053.782.469-38,37512139,João Guilherme Martins,diaskaique@bol.com.br,Exercitationem,Trancado
815.463.029-05,87864447,Marcelo Moreira,rochajoao-gabriel@yahoo.com.br,Aperiam,Inativo
713.406.598-75,90424633,Sr. Igor da Rocha,alicia63@da.br,Nisi,Ativo
467.180.953-20,95553888,Sabrina Gonçalves,joao-guilherme89@yahoo.com.br,Alias,Trancado
764.521.903-34,30975554,Maria da Cruz,beatriznunes@barbosa.net,Est,Ativo
845.639.102-60,53240672,Bruno Sales,oviana@ig.com.br,Commodi,Inativo
597.801.436-10,82488607,Marcelo Souza,luiz-henrique57@cardoso.org,Quo,Trancado
178.604.295-94,95253010,Luiz Miguel Viana,eduardanovaes@gmail.com,Voluptas,Trancado
541.382.067-44,33430279,Luna Viana,zrezende@uol.com.br,Soluta,Trancado
012.957.683-21,27305359,Rafael Castro,vnascimento@ig.com.br,Iusto,Trancado
046.751.982-01,71841897,Antônio Fernandes,samuel04@ig.com.br,Dolorem,Inativo
781.204.369-03,92507438,Sr. Theo da Mata,vitorrodrigues@costela.com,A,Trancado
152.837.964-00,33418174,Camila Farias,maite64@hotmail.com,Consequatur,Inativo
970.538.124-05,45048742,Cauã Freitas,imelo@yahoo.com.br,Odit,Ativo
624.907.835-56,21242554,Emanuella Sales,clara38@bol.com.br,Nam,Inativo
574.802.391-14,73312014,Nicole Nunes,manuela47@da.br,Nostrum,Ativo
802.567.491-67,11115071,Leonardo Correia,stellanascimento@gmail.com,Nobis,Inativo
045.621.378-35,49654126,Rafaela Teixeira,portosofia@ig.com.br,Blanditiis,Trancado
274.063.159-61,67051052,Elisa Mendes,rodrigosantos@ribeiro.com,Eligendi,Trancado
270.418.693-69,85030477,Sr. André Ferreira,pedro-miguelsouza@ramos.com,Atque,Ativo
085.621.739-59,11288073,Sr. Luiz Gustavo da Costa,mirellasilveira@jesus.com,Doloremque,Ativo
468.759.130-20,67175474,Ana Vitória da Rocha,barbosajuliana@uol.com.br,Aspernatur,Trancado
092.473.516-34,60699364,Pietra Teixeira,larissacardoso@uol.com.br,Repellat,Inativo
