CPF,Nome,Curso,Situação
287.145.609-76,Pedro Henrique da Rosa,Quae,EM_CURSO
378.951.264-82,Brenda Mendes,Nulla,EM_CURSO
621.048.935-42,Sra. Catarina Alves,Nulla,EM_CURSO
905.836.724-00,Enzo Campos,Impedit,EM_CURSO
532.107.849-14,Calebe Caldeira,Non,EM_CURSO
734.816.520-62,Marcos Vinicius da Conceição,Nulla,EM_CURSO
984.763.250-29,Cecília da Mota,Placeat,EM_CURSO
958.710.326-21,Ana Sophia Costela,Perspiciatis,EM_CURSO
630.849.157-84,Ian Gonçalves,Hic,EM_CURSO
261.875.403-44,Bruna Fogaça,Libero,EM_CURSO
621.098.537-86,Marcos Vinicius da Rocha,Ut,EM_CURSO
379.021.845-60,Eduarda Pereira,At,EM_CURSO
174.925.368-28,Joana Correia,Nam,EM_CURSO
869.132.054-06,Isabella Barros,Ipsa,EM_CURSO
605.312.479-61,Antônio Carvalho,Cupiditate,EM_CURSO
194.063.257-99,Sra. Luna Porto,Eaque,EM_CURSO
578.204.196-01,Leonardo Alves,Aut,EM_CURSO
527.849.361-55,Mariane Barros,Saepe,EM_CURSO
932.186.475-09,Olivia Viana,Porro,EM_CURSO
675.980.142-30,Joana da Paz,Quae,EM_CURSO
853.964.012-06,Maitê Correia,Veniam,EM_CURSO
036.598.471-00,Fernando Santos,Consequuntur,EM_CURSO
516.032.497-61,Bárbara Moreira,Qui,EM_CURSO
839.641.702-40,Daniela Barbosa,Assumenda,EM_CURSO
382.605.714-71,Carlos Eduardo Moura,Similique,EM_CURSO
162.304.758-71,Emanuelly Sales,Placeat,EM_CURSO
486.519.370-75,Nicolas Fogaça,Maiores,EM_CURSO
130.458.627-80,Sr. Davi Lucca Aragão,Dignissimos,EM_CURSO
132.075.684-08,Luiz Fernando Correia,Repellendus,EM_CURSO
219.760.543-70,Matheus da Paz,A,EM_CURSO
562.198.073-59,Lavínia Souza,Nisi,EM_CURSO
075.281.346-35,Dr. Pedro Miguel Cardoso,A,EM_CURSO
053.782.469-38,Dr. Davi Gomes,Exercitationem,EM_CURSO
815.463.029-05,Srta. Nina Rocha,Aperiam,EM_CURSO
