CO_ALUNO_IDENTIFICADO,CO_ALUNO,NO_ALUNO,NO_MAE_ALUNO,SG_SEXO,DT_DATA_NASCIMENTO,NU_CPF,DS_EMAIL,CO_PESSOA_FISICA_ALUNO,DS_SENHA,CO_MATRICULA,CO_CICLO_MATRICULA,CO_CURSO,NU_CARGA_HORARIA,DT_DATA_INICIO,DT_DATA_FIM_PREVISTO,CO_PERIODO_CADASTRO,NO_CICLO_MATRICULA,CO_TIPO_OFERTA_CURSO,CO_TIPO_INSTITUICAO,CO_PORTFOLIO,NU_VAGAS_OFERTADAS,NU_TOTAL_INSCRITOS,NO_STATUS_MATRICULA,CO_UNIDADE_ENSINO,MES_DE_OCORRENCIA
771779781,190571834,Pedro Henrique da Rosa,Alexia Gomes,F,2003-04-15,287.145.609-76,catarinalopes@barros.com,973107738,Cd84#EmP*H,67984019,48583,53936,1200,2022-10-01,2021-03-29,6,esse,1,2,9460,71,34,EM_CURSO,511552,1
519173851,719596900,Brenda Mendes,Stella Rodrigues,F,1999-04-02,378.951.264-82,joaquim28@ig.com.br,602547890,52XJ^4Lpro,19071866,92416,54022,1200,2021-08-17,2021-07-25,4,dolorum,2,3,2532,34,87,EM_CURSO,724822,2
307376524,598607199,Sra. Catarina Alves,Srta. Juliana Pires,M,1994-11-10,621.048.935-42,luiz-fernando28@ig.com.br,800775406,)6RClaDcCd,11079288,72845,74139,1600,2020-02-18,2020-08-15,3,saepe,4,1,8290,42,93,EM_CURSO,732968,6
241162797,585331433,Enzo Campos,Mariane Duarte,M,2006-01-29,905.836.724-00,novaesleonardo@gmail.com,484036015,8n7L)rTr$C,57722801,31363,56666,1600,2023-11-04,2022-08-12,4,dolorum,3,3,6722,39,53,EM_CURSO,719088,7
910557236,964573705,Calebe Caldeira,Ana Luiza Rocha,F,2002-02-24,532.107.849-14,mrocha@hotmail.com,170652129,VW3yWHEr%r,29586376,71756,63969,1000,2022-06-20,2024-12-25,2,nam,4,3,3033,59,99,EM_CURSO,609968,1
290409611,661072995,Marcos Vinicius da Conceição,Srta. Larissa Peixoto,F,2002-03-18,734.816.520-62,nogueiraalexia@gmail.com,773070723,7npA%Rou&$,40185880,97673,97607,800,2020-07-31,2023-08-04,9,at,4,1,5972,39,49,EM_CURSO,254912,4
313542386,498397834,Cecília da Mota,Isabella Sales,M,1996-12-24,984.763.250-29,rafaela05@moraes.net,710560753,^3Y)Iucl(V,36828883,23135,59303,1600,2021-07-24,2021-01-11,6,expedita,2,1,1966,73,57,EM_CURSO,944480,12
287194076,661585674,Ana Sophia Costela,Maria Cecília Rocha,F,2005-05-21,958.710.326-21,gabriela06@costa.net,950686773,B35h1Onpm@,42158021,27835,23363,1000,2024-04-25,2023-03-01,1,facilis,5,3,8371,41,83,EM_CURSO,338961,1
203934151,542315780,Ian Gonçalves,Daniela Cardoso,M,1998-03-04,630.849.157-84,qdas-neves@yahoo.com.br,247723567,jPW2DACyl#,29294380,37279,92804,1200,2025-03-21,2024-06-25,4,aut,1,2,8105,38,89,EM_CURSO,330321,6
959525536,259268799,Bruna Fogaça,Bruna Pinto,M,2004-06-03,261.875.403-44,diogoteixeira@freitas.br,343831850,XMX8Rxld+Y,77966187,60561,86972,1200,2024-10-01,2022-10-29,10,animi,1,3,5955,71,32,EM_CURSO,567835,7
792047635,926956193,Marcos Vinicius da Rocha,Manuela Silveira,F,1999-02-11,621.098.537-86,fariasstella@ig.com.br,493634711,#BHd#grhf8,30490051,83891,91290,1000,2023-05-24,2020-09-30,2,incidunt,3,2,9293,80,21,EM_CURSO,824769,9
120222155,135334141,Eduarda Pereira,Ana Lívia Pires,F,2000-11-22,379.021.845-60,udias@sales.br,569900615,@87D+RAp7o,82845842,55727,39454,1600,2021-05-27,2020-01-22,2,dolor,2,2,9395,50,43,EM_CURSO,397379,1
895027269,449157568,Joana Correia,Lívia Ferreira,F,2001-09-07,174.925.368-28,maria-julia17@ramos.net,676809291,J+m1BFeq^),30609714,85392,19119,800,2021-10-05,2024-02-27,10,vitae,5,3,8549,69,40,EM_CURSO,262884,8
424664199,881080232,Isabella Barros,Gabrielly Carvalho,M,1996-01-18,869.132.054-06,enrico83@mendes.org,344538625,KTXk8Eir&5,91387567,19740,53544,1600,2020-01-07,2021-07-09,8,delectus,5,1,7068,57,30,EM_CURSO,563959,8
501362894,587419870,Antônio Carvalho,Joana da Paz,F,1997-06-08,605.312.479-61,isis49@viana.net,693267789,^W%@MDKvg2,92734997,92446,45862,1200,2021-08-18,2020-10-08,8,delectus,1,3,9545,67,62,EM_CURSO,606362,6
475940639,361335439,Sra. Luna Porto,Maria Sophia Costa,F,1997-05-28,194.063.257-99,bryan00@fernandes.br,554006012,@)PJUc2q^4,32477853,66345,44451,1200,2024-04-29,2025-05-14,4,consequatur,3,1,2040,48,30,EM_CURSO,409936,7
376968582,110258981,Leonardo Alves,Dra. Emilly Moura,F,2003-09-07,578.204.196-01,elisaribeiro@pereira.net,583699606,u1oLKnmx_0,61041076,51078,57526,1000,2020-08-08,2021-06-14,9,beatae,2,3,2584,47,56,EM_CURSO,496717,2
